		DROP	Slider_1	Checkbox_1	DROP	Slider_2	DROP		DROP	Latitude	Longitude	DROP	DROP	Category_color
France	Superphénix nuclear power plant	NA	1242	retired	Na-1200	1986	1998	Electricité De France (EDF)	Electricité De France (EDF)	45.7613	5.4701	NA	Auvergne-Rhône-Alpes	other
Netherlands	Dodewaard nuclear power plant	NA	60	retired	GE design	1969	1997	BV Gemeenschappelijke Kernenergiecentrale Nederland (BV GKN)	BV Gemeenschappelijke Kernenergiecentrale Nederland (BV GKN)	51.8998	5.6868	NA	Gelderland	boiling water reactor
France	Cattenom nuclear power plant	1	1362	operating	P4 REP 1300	1987	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.416	6.2169	NA	Grand Est	pressurized water reactor
France	Cattenom nuclear power plant	2	1362	operating	P4 REP 1300	1988	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.416	6.2169	NA	Grand Est	pressurized water reactor
France	Cattenom nuclear power plant	3	1362	operating	P4 REP 1300	1991	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.416	6.2169	NA	Grand Est	pressurized water reactor
France	Cattenom nuclear power plant	4	1362	operating	P4 REP 1300	1992	NA	Electricité De France (EDF)	Electricité De France (EDF)	49.416	6.2169	NA	Grand Est	pressurized water reactor
Germany	AVR Reactor nuclear power plant	NA	15	retired	Pebble bed reactor prototype	1969	1988	Arbeitsgemeinschaft Versuchsreaktor GMBH	Arbeitsgemeinschaft Versuchsreaktor GMBH	50.9026	6.4208	NA	North Rhine-Westphalia	other
Switzerland	Lucens nuclear power plant	NA	7	retired	HWGCR: 2-loops	1968	1969	Nationale Gesellschaft Zur Förderung Der Industriellen Atomtechnik	Energie De L'Ouest Suisse	46.6927	6.8272	NA	Vaud	other
Switzerland	Muehleberg nuclear power plant	1	390	retired	BWR-4	1972	2019	BKW Energie AG	BKW Energie AG	46.9689	7.2684	Bernese Mittelland administrative region	Bern	boiling water reactor
Germany	Lingen nuclear power plant	NA	268	retired	BWR with fossil fuel-fired superheater	1968	1977	RWE Nuclear GMBH	Kernkraftwerk Lingen GMBH	52.4831	7.3005	NA	Lower Saxony	boiling water reactor
Germany	Emsland nuclear power plant	NA	1406	retired	Konvoi	1988	2023	RWE Power AG [75%]; PreussenElektra GMBH [25%]	Kernkraftwerke Lippe-Ems GMBH	52.4716	7.3204	NA	Lower Saxony	pressurized water reactor
Germany	Muelheim-Kaerlich nuclear power plant	NA	1302	retired	unknown	1987	1988	SCN Energy AG	Kernkraftwerk Gundremmingen GMBH	50.4086	7.4874	NA	Rhineland-Palatinate	pressurized water reactor
France	Fessenheim nuclear power plant	1	920	retired	CP0	1978	2020	Electricité De France (EDF)	Electricité De France (EDF)	47.9032	7.5609	NA	Grand Est	pressurized water reactor
France	Fessenheim nuclear power plant	2	920	retired	CP0	1978	2020	Electricité De France (EDF)	Electricité De France (EDF)	47.9032	7.5609	NA	Grand Est	pressurized water reactor
Switzerland	Goesgen nuclear power plant	NA	1060	operating	PWR 3 Loop	1979	NA	Kernkraftwerk Gösgen-Däniken AG	Kernkraftwerk Gösgen-Däniken AG	47.3656	7.96801	NA	Solothurn	pressurized water reactor
Germany	THTR-300 nuclear power plant	NA	308	retired	Pebble bed reactor	1987	1988	Hochtemperatur-Kernkraftwerk GMBH	Hochtemperatur-Kernkraftwerk GMBH	51.6803	7.97201	NA	North Rhine-Westphalia	other
Switzerland	Leibstadt nuclear power plant	NA	1275	operating	BWR-6	1984	NA	Kernkraftwerk Leibstadt	Kernkraftwerk Leibstadt	47.6012	8.1845	NA	Aargau	boiling water reactor
Switzerland	Beznau nuclear power plant	1	380	operating	WH 2LP	1969	NA	Kernkraftwerk Beznau Ch-5312 Döttingen	Kernkraftwerk Beznau Ch-5312 Döttingen	47.552	8.2281	NA	Aargau	pressurized water reactor
Switzerland	Beznau nuclear power plant	2	380	operating	WH 2LP	1972	NA	Kernkraftwerk Beznau Ch-5312 Döttingen	Kernkraftwerk Beznau Ch-5312 Döttingen	47.552	8.2281	NA	Aargau	pressurized water reactor
Italy	Enrico Fermi nuclear power plant	NA	270	retired	WH 4LP	1965	1990	Societa Gestione Impanti Nucleari SPA	Societa Gestione Impanti Nucleari SPA	45.1833	8.2773	NA	Piedmont	pressurized water reactor
Germany	Biblis nuclear power plant	A	1225	retired	unknown	1975	2011	RWE Power AG	RWE Power AG	49.7093	8.4148	NA	Hesse	pressurized water reactor
Germany	Biblis nuclear power plant	B	1300	retired	unknown	1977	2011	RWE Power AG	RWE Power AG	49.7093	8.4148	NA	Hesse	pressurized water reactor
Germany	MZFR nuclear power plant	NA	57	retired	unknown	1966	1984	Kerntechnische Entsorgung Karlsruhe GMBH	Kernkraftwerk-Betriebsgesellschaft MBH	49.1041	8.4324	NA	Baden-Württemberg	pressurized heavy water reactor
Germany	Philippsburg nuclear power plant	1	926	retired	BWR-69	1980	2011	EnBW Kraftwerke AG	EnBW Kernkraft GMBH	49.2529	8.4364	NA	Baden-Württemberg	boiling water reactor
Germany	Philippsburg nuclear power plant	2	1468	retired	unknown	1985	2019	EnBW Kernkraft GMBH	EnBW Kernkraft GMBH	49.2529	8.4364	NA	Baden-Württemberg	pressurized water reactor
Germany	KNK II nuclear power plant	NA	21	retired	Prototype	1979	1991	Karlsruhe Institute For Technology	Kernkraftwerk-Betriebsgesellschaft MBH	49.0967	8.4398	NA	Baden-Württemberg	other
Germany	Unterweser nuclear power plant	NA	1410	retired	unknown	1979	2011	E.ON Kernkraft GMBH	E.ON Kernkraft GMBH	53.4282	8.4791	NA	Lower Saxony	pressurized water reactor
Germany	Großwelzheim nuclear power plant	NA	27	retired	Superheated steam reactor	1969	1971	Heissdampfreaktor-Betriebsgesellschaft MBH	Heissdampfreaktor-Betriebsgesellschaft MBH	50.0581	8.9869	NA	Bavaria	boiling water reactor
Germany	Kahl nuclear power plant	NA	16	retired	BWR	1961	1985	Versuchsatomkraftwerk Kahl GMBH	Versuchsatomkraftwerk Kahl GMBH	50.0596	8.99101	NA	Bavaria	boiling water reactor
Germany	Obrigheim nuclear power plant	NA	357	retired	unknown	1969	2005	Kernkraftwerk Obrigheim GMBH	EnBW Kraftwerke AG	49.3655	9.0779	NA	Baden-Württemberg	pressurized water reactor
Germany	Neckarwestheim nuclear power plant	1	840	retired	unknown	1976	2011	EnBW [98.45%]; four other owners [1.55%]	EnBW Kernkraft GMBH	49.0408	9.1759	NA	Baden-Württemberg	pressurized water reactor
Germany	Neckarwestheim nuclear power plant	2	1400	retired	Konvoi	1989	2023	EnBW Kernkraft GMBH	EnBW Kernkraft GMBH	49.0408	9.1759	NA	Baden-Württemberg	pressurized water reactor
Germany	Brunsbuettel nuclear power plant	NA	806	retired	BWR-69	1977	2011	Vattenfall Europe Nuclear Energy GMBH [66.6%]; E.ON Kernkraft GMBH [33.3%]	Kernkraftwerk Brunsbüttel GMBH & CO OHG	53.8912	9.2008	NA	Schleswig-Holstein	boiling water reactor
Germany	Brokdorf nuclear power plant	NA	1480	retired	unknown	1986	2021	PreussenElektra GMBH [80%]; Vattenfall GMBH [20%]	PreussenElektra GMBH	53.8506	9.34501	NA	Schleswig-Holstein	pressurized water reactor
Germany	Wuergassen nuclear power plant	NA	670	retired	unknown	1975	1994	PreussenElektra GMBH	PreussenElektra GMBH	51.6395	9.3919	NA	North Rhine-Westphalia	boiling water reactor
Germany	Grohnde nuclear power plant	NA	1430	retired	unknown	1985	2021	PreussenElektra GMBH [83.3%]; Stadtwerke Bielefeld [16.7%]	PreussenElektra GMBH	52.0356	9.4135	NA	Lower Saxony	pressurized water reactor
Germany	Stade nuclear power plant	NA	672	retired	unknown	1972	2003	Kernkraftwerk Stade GMBH	E.ON Kernkraft GMBH	53.6197	9.5308	NA	Lower Saxony	pressurized water reactor
Italy	Caorso nuclear power plant	NA	882	retired	BWR-4 (Mark 2)	1981	1990	Societa Gestione Impanti Nucleari SPA	Societa Gestione Impanti Nucleari SPA	45.0729	9.8716	NA	Emilia-Romagna	boiling water reactor
Germany	Grafenrheinfeld nuclear power plant	NA	1345	retired	unknown	1982	2015	E.ON Kernkraft GMBH	E.ON Kernkraft GMBH	49.9839	10.1848	NA	Bavaria	pressurized water reactor
Germany	Gundremmingen nuclear power plant	A	250	retired	unknown	1967	1977	NA	Kernkraftwerke Gundremmingen Betriebsgesellschaft MBH	48.515	10.4016	NA	Bavaria	boiling water reactor
Germany	Gundremmingen nuclear power plant	B	1344	retired	BWR-72	1984	2017	RWE Power AG [75%]; E.ON Kernkraft GMBH [25%]	Kernkraftwerk Gundremmingen GMBH	48.515	10.4016	NA	Bavaria	boiling water reactor
Germany	Gundremmingen nuclear power plant	C	1344	retired	BWR-72	1985	2021	RWE Power AG [75%]; PreussenElektra GMBH [25%]	Kernkraftwerk Gundremmingen GMBH	48.515	10.4016	NA	Bavaria	boiling water reactor
Germany	Kruemmel nuclear power plant	NA	1402	retired	BWR-69	1984	2011	Vattenfall Europe Nuclear Energy GMBH [50%]; E.ON Kernkraft GMBH [50%]	Kernkraftwerk Krümmel GMBH & CO OHG	53.4102	10.4096	NA	Schleswig-Holstein	boiling water reactor
Sweden	Ringhals nuclear power plant	2	963	retired	WH 3LP	1975	2019	Ringhals AB	Ringhals AB	57.2574	12.1087	NA	NA	pressurized water reactor
Sweden	Ringhals nuclear power plant	1	910	retired	AA-I	1976	2020	Ringhals AB	Ringhals AB	57.2574	12.1087	NA	NA	boiling water reactor
Sweden	Ringhals nuclear power plant	3	1117	operating	WH 3LP	1981	NA	Ringhals AB	Ringhals AB	57.2574	12.1087	NA	NA	pressurized water reactor
Sweden	Ringhals nuclear power plant	4	1171	operating	WH 3LP	1983	NA	Ringhals AB	Ringhals AB	57.2574	12.1087	NA	NA	pressurized water reactor
Germany	Isar nuclear power plant	2	1485	retired	Konvoi	1988	2023	PreussenElektra GMBH [75%]; Stadtwerke München [25%]	PreussenElektra GMBH	48.6044	12.2927	NA	Bavaria	pressurized water reactor
Germany	Isar nuclear power plant	1	912	retired	BWR-69	1979	2011	E.ON Kernkraft GMBH	E.ON Kernkraft GMBH	48.6048	12.2988	NA	Bavaria	boiling water reactor
Germany	Niederaichbach nuclear power plant	1	106	retired	pressure tube reactor	1973	1974	Karlsruhe Institute For Technology	Kernkraftwerk Niederaichbach GMBH	48.6047	12.3039	NA	Bavaria	other
Italy	Latina nuclear power plant	NA	160	retired	MAGNOX	1964	1987	Societa Gestione Impanti Nucleari SPA	Societa Gestione Impanti Nucleari SPA	41.4253	12.8067	NA	Lazio	other
Sweden	Barseback nuclear power plant	1	615	retired	AA-II	1975	1999	Sydkraft Nuclear Power AB	Barsebäck Kraft AB	55.7435	12.9201	NA	NA	boiling water reactor
Sweden	Barseback nuclear power plant	2	615	retired	AA-II	1977	2005	Sydkraft Nuclear Power AB	Barsebäck Kraft AB	55.7435	12.9201	NA	NA	boiling water reactor
Germany	Rheinsberg nuclear power plant	NA	70	retired	VVER-70	1966	1990	Energiewerke Nord GMBH	Energiewerke Nord GMBH	53.1478	12.9904	NA	Brandenburg	pressurized water reactor
Germany	Greifswald nuclear power plant	1	440	retired	VVER V-230	1974	1990	Energiewerke Nord GMBH	Energiewerke Nord GMBH	54.1416	13.6634	NA	Mecklenburg-Vorpommern	pressurized water reactor
Germany	Greifswald nuclear power plant	2	440	retired	VVER V-230	1975	1990	Energiewerke Nord GMBH	Energiewerke Nord GMBH	54.1416	13.6634	NA	Mecklenburg-Vorpommern	pressurized water reactor
Germany	Greifswald nuclear power plant	3	440	retired	VVER V-230	1978	1990	Energiewerke Nord GMBH	Energiewerke Nord GMBH	54.1416	13.6634	NA	Mecklenburg-Vorpommern	pressurized water reactor
Germany	Greifswald nuclear power plant	4	440	retired	VVER V-230	1979	1990	Energiewerke Nord GMBH	Energiewerke Nord GMBH	54.1416	13.6634	NA	Mecklenburg-Vorpommern	pressurized water reactor
Germany	Greifswald nuclear power plant	5	440	retired	VVER V-213	1989	1989	"VEB KKW \Bruno Leuschner\"""	Energiewerke Nord GMBH	54.1416	13.6634	NA	Mecklenburg-Vorpommern	pressurized water reactor
Italy	Garigliano nuclear power plant	NA	160	retired	BWR-1	1964	1982	Societa Gestione Impanti Nucleari SPA	Societa Gestione Impanti Nucleari SPA	41.2584	13.8349	NA	Campania	boiling water reactor
Czech Republic	Temelin nuclear power plant	1	1082	operating	VVER V-320	2002	NA	ČEZ AS	ČEZ AS	49.1796	14.3795	NA	Southwest	pressurized water reactor
Czech Republic	Temelin nuclear power plant	2	1082	operating	VVER V-320	2003	NA	ČEZ AS	ČEZ AS	49.1796	14.3795	NA	Southwest	pressurized water reactor
Slovenia	Krško nuclear power plant	1	727	operating	WH 2LP	1983	2043	Gen Energija DOO	Nuklearna Elektrarna Krško	45.9389	15.51601	NA	NA	pressurized water reactor
Czech Republic	Dukovany nuclear power plant	1	500	operating	VVER V-213	1985	2037	ČEZ AS	ČEZ AS	49.0852	16.1479	NA	Southeast	pressurized water reactor
Czech Republic	Dukovany nuclear power plant	2	500	operating	VVER V-213	1986	2037	ČEZ AS	ČEZ AS	49.0852	16.1479	NA	Southeast	pressurized water reactor
Czech Republic	Dukovany nuclear power plant	3	500	operating	VVER V-213	1986	2037	ČEZ AS	ČEZ AS	49.0852	16.1479	NA	Southeast	pressurized water reactor
Czech Republic	Dukovany nuclear power plant	4	500	operating	VVER V-213	1987	2037	ČEZ AS	ČEZ AS	49.0852	16.1479	NA	Southeast	pressurized water reactor
Sweden	Oskarshamn nuclear power plant	1	492	retired	AA-I	1972	2017	Oskarshamns Kraftgrupp AB	Oskarshamns Kraftgrupp AB	57.4166	16.67301	NA	NA	boiling water reactor
Sweden	Oskarshamn nuclear power plant	2	661	retired	AA-II	1975	2016	Oskarshamns Kraftgrupp AB	Oskarshamns Kraftgrupp AB	57.4166	16.67301	NA	NA	boiling water reactor
Sweden	Oskarshamn nuclear power plant	3	1450	operating	"AA-IV, BWR-3000"	1985	NA	Oskarshamns Kraftgrupp AB	Oskarshamns Kraftgrupp AB	57.4166	16.67301	NA	NA	boiling water reactor
Slovakia	Bohunice nuclear power plant	A1	143	retired	KS 150	1972	1977	Jadrova A Vyradovacia Spolocnost (Nuclear And Decommissioning Company PLC)	Jadrova A Vyradovacia Spolocnost (Nuclear And Decommissioning Company PLC)	48.4968	17.6907	NA	Region of Trnava	other
Slovakia	Bohunice nuclear power plant	1	440	retired	VVER V-230	1980	2006	Jadrova A Vyradovacia Spolocnost (Nuclear And Decommissioning Company PLC)	Jadrova A Vyradovacia Spolocnost (Nuclear And Decommissioning Company PLC)	48.4968	17.6907	NA	Region of Trnava	pressurized water reactor
Slovakia	Bohunice nuclear power plant	2	440	retired	VVER V-230	1981	2008	Jadrova A Vyradovacia Spolocnost (Nuclear And Decommissioning Company PLC)	Jadrova A Vyradovacia Spolocnost (Nuclear And Decommissioning Company PLC)	48.4968	17.6907	NA	Region of Trnava	pressurized water reactor
Slovakia	Bohunice nuclear power plant	3	500	operating	VVER V-213	1985	NA	Slovenské Elektrárne AS	Slovenské Elektrárne AS	48.4968	17.6907	NA	Region of Trnava	pressurized water reactor
Slovakia	Bohunice nuclear power plant	4	500	operating	VVER V-213	1985	NA	Slovenské Elektrárne AS	Slovenské Elektrárne AS	48.4968	17.6907	NA	Region of Trnava	pressurized water reactor
Sweden	Agesta nuclear power plant	NA	12	retired	unknown	1964	1974	Vattenfall AB	Svafo AB	59.2062	18.0814	NA	NA	pressurized heavy water reactor
Sweden	Forsmark nuclear power plant	1	1078	operating	"AA-III, BWR-2500"	1980	NA	Forsmark Kraftgrupp AB	Forsmark Kraftgrupp AB	60.4028	18.1744	NA	NA	boiling water reactor
Sweden	Forsmark nuclear power plant	2	1160	operating	"AA-III, BWR-2500"	1981	NA	Forsmark Kraftgrupp AB	Forsmark Kraftgrupp AB	60.4028	18.1744	NA	NA	boiling water reactor
Sweden	Forsmark nuclear power plant	3	1208	operating	"AA-IV, BWR-3000"	1985	NA	Forsmark Kraftgrupp AB	Forsmark Kraftgrupp AB	60.4028	18.1744	NA	NA	boiling water reactor
South Africa	Koeberg nuclear power plant	1	970	operating	CP1	1984	NA	Eskom	Eskom	-33.6746	18.4321	NA	Western Cape	pressurized water reactor
South Africa	Koeberg nuclear power plant	2	970	operating	CP1	1985	NA	Eskom	Eskom	-33.6746	18.4321	NA	Western Cape	pressurized water reactor
Slovakia	Mochovce nuclear power plant	1	500	operating	VVER V-213	1998	NA	Slovenské Elektrárne AS	Slovenské Elektrárne AS	48.2572	18.4553	NA	Region of Nitra	pressurized water reactor
Slovakia	Mochovce nuclear power plant	2	500	operating	VVER V-213	2000	NA	Slovenské Elektrárne AS	Slovenské Elektrárne AS	48.2572	18.4553	NA	Region of Nitra	pressurized water reactor
Hungary	Paks nuclear power plant	1	509	operating	VVER V-213	1983	NA	MVM Hungarian Electricity LTD	MVM Paks Nuclear Power Plant LTD	46.57763	18.8532	NA	NA	pressurized water reactor
Hungary	Paks nuclear power plant	2	506	operating	VVER V-213	1984	NA	MVM Hungarian Electricity LTD	MVM Paks Nuclear Power Plant LTD	46.57763	18.8532	NA	NA	pressurized water reactor
Hungary	Paks nuclear power plant	3	506	operating	VVER V-213	1986	NA	MVM Hungarian Electricity LTD	MVM Paks Nuclear Power Plant LTD	46.57763	18.8532	NA	NA	pressurized water reactor
Hungary	Paks nuclear power plant	4	506	operating	VVER V-213	1987	NA	MVM Hungarian Electricity LTD	MVM Paks Nuclear Power Plant LTD	46.57763	18.8532	NA	NA	pressurized water reactor
Finland	Olkiluoto nuclear power plant	3	1720	operating	EPR	2022	NA	Teollisuuden Voima OYJ	Teollisuuden Voima OYJ	61.2356	21.4372	South-Western Finland	NA	pressurized water reactor
Finland	Olkiluoto nuclear power plant	1	920	operating	"AA-III, BWR-2500"	1979	NA	Teollisuuden Voima OYJ	Teollisuuden Voima OYJ	61.2371	21.4433	South-Western Finland	NA	boiling water reactor
Finland	Olkiluoto nuclear power plant	2	920	operating	"AA-III, BWR-2500"	1982	NA	Teollisuuden Voima OYJ	Teollisuuden Voima OYJ	61.2371	21.4433	South-Western Finland	NA	boiling water reactor
Bulgaria	Kozloduy nuclear power plant	1	440	retired	VVER V-230	1974	2002	DP RAO (State Enterprise “Radio Active Waste”)	NA	43.7497	23.7685	NA	NA	pressurized water reactor
Bulgaria	Kozloduy nuclear power plant	2	440	retired	VVER V-230	1975	2002	DP RAO (State Enterprise “Radio Active Waste”)	NA	43.7497	23.7685	NA	NA	pressurized water reactor
Bulgaria	Kozloduy nuclear power plant	3	440	retired	VVER V-230	1981	2006	DP RAO (State Enterprise “Radio Active Waste”)	NA	43.7497	23.7685	NA	NA	pressurized water reactor
Bulgaria	Kozloduy nuclear power plant	4	440	retired	VVER V-230	1982	2006	DP RAO (State Enterprise “Radio Active Waste”)	NA	43.7497	23.7685	NA	NA	pressurized water reactor
Bulgaria	Kozloduy nuclear power plant	5	1040	operating	VVER V-320	1988	NA	Bulgarian Energy Holding CO	NA	43.7497	23.7685	NA	NA	pressurized water reactor
Bulgaria	Kozloduy nuclear power plant	6	1040	operating	VVER V-320	1993	NA	Bulgarian Energy Holding CO	NA	43.7497	23.7685	NA	NA	pressurized water reactor
Ukraine	Rivne nuclear power plant	1	420	operating	VVER V-213	1981	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	51.3245	25.8974	NA	Rivne Oblast	pressurized water reactor
Ukraine	Rivne nuclear power plant	2	415	operating	VVER V-213	1982	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	51.3245	25.8974	NA	Rivne Oblast	pressurized water reactor
Ukraine	Rivne nuclear power plant	3	1000	operating	VVER V-320	1987	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	51.3245	25.8974	NA	Rivne Oblast	pressurized water reactor
Ukraine	Rivne nuclear power plant	4	1000	operating	VVER V-320	2006	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	51.3245	25.8974	NA	Rivne Oblast	pressurized water reactor
Belarus	Astravets nuclear power plant	1	1194	operating	VVER V-491	2021	NA	"Republican Unitary Enterprise \Belarusian Nuclear Power Plant\"""	"Republican Unitary Enterprise \Belarusian Nuclear Power Plant\"""	54.7598	26.0937	NA	Hrodna Region	pressurized water reactor
Finland	Loviisa nuclear power plant	1	531	operating	VVER V-213	1977	2050	Fortum Power And Heat OY (Former IVO)	Fortum Power And Heat OY (Former IVO)	60.3708	26.3468	Southern Finland	NA	pressurized water reactor
Finland	Loviisa nuclear power plant	2	531	operating	VVER V-213	1981	2050	Fortum Power And Heat OY (Former IVO)	Fortum Power And Heat OY (Former IVO)	60.3708	26.3468	Southern Finland	NA	pressurized water reactor
Lithuania	Ignalina nuclear power plant	1	1300	retired	RBMK-1500	1985	2004	The Republic of Lithuania	Ignalina Nuclear Power Plant	55.6023	26.5598	Visagino savivaldybė	Utena County	light water graphite reactor
Lithuania	Ignalina nuclear power plant	2	1300	retired	RBMK-1500	1987	2009	The Republic of Lithuania	Ignalina Nuclear Power Plant	55.6023	26.5598	Visagino savivaldybė	Utena County	light water graphite reactor
Ukraine	Khmelnitski nuclear power plant	1	1000	operating	VVER V-320	1988	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	50.3024	26.6473	NA	Khmelnytskyi Oblast	pressurized water reactor
Ukraine	Khmelnitski nuclear power plant	2	1000	operating	VVER V-320	2005	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	50.3024	26.6473	NA	Khmelnytskyi Oblast	pressurized water reactor
Romania	Cernavodă nuclear power plant	2	705	operating	CANDU 6	2007	NA	Ministerul Economiei; Comertului Si Mediului De Afaceri	Societatea Nationala Nuclearelectrica SA	44.3218	28.0586	NA	NA	pressurized heavy water reactor
Romania	Cernavodă nuclear power plant	1	706	operating	CANDU 6	1996	NA	Ministerul Economiei; Comertului Si Mediului De Afaceri	Societatea Nationala Nuclearelectrica SA	44.3205	28.0598	NA	NA	pressurized heavy water reactor
Russia	Leningrad nuclear power plant	1-1	1000	retired	RBMK-1000	1974	2018	Rosatom	Rosenergoatom	59.8525	29.0486	NA	Leningrad oblast	light water graphite reactor
Russia	Leningrad nuclear power plant	1-2	1000	retired	RBMK-1000	1976	2020	Rosatom	Rosenergoatom	59.8525	29.0486	NA	Leningrad oblast	light water graphite reactor
Russia	Leningrad nuclear power plant	1-3	1000	operating	RBMK-1000	1980	NA	Rosatom	Rosenergoatom	59.8525	29.0486	NA	Leningrad oblast	light water graphite reactor
Russia	Leningrad nuclear power plant	1-4	1000	operating	RBMK-1000	1981	NA	Rosatom	Rosenergoatom	59.8525	29.0486	NA	Leningrad oblast	light water graphite reactor
Russia	Leningrad nuclear power plant	2-1	1188	operating	VVER V-491	2018	NA	Rosatom	Rosenergoatom	59.8525	29.0486	NA	Leningrad oblast	pressurized water reactor
Russia	Leningrad nuclear power plant	2-2	1188	operating	VVER V-491	2021	NA	Rosatom	Rosenergoatom	59.8525	29.0486	NA	Leningrad oblast	pressurized water reactor
Ukraine	Chernobyl nuclear power plant	4	1000	retired	RBMK	1984	1986	"SE NNEGC \Energoatom\"""	Mintopenergo Of Ukraine	51.3893	30.0984	NA	Kyiv Oblast	light water graphite reactor
Ukraine	Chernobyl nuclear power plant	3	1000	retired	RBMK	1982	2000	"SE NNEGC \Energoatom\"""	Mintopenergo Of Ukraine	51.3894	30.1007	NA	Kyiv Oblast	light water graphite reactor
Ukraine	Chernobyl nuclear power plant	2	1000	retired	RBMK	1979	1991	"SE NNEGC \Energoatom\"""	Mintopenergo Of Ukraine	51.3894	30.1047	NA	Kyiv Oblast	light water graphite reactor
Ukraine	Chernobyl nuclear power plant	1	800	retired	RBMK	1978	1996	"SE NNEGC \Energoatom\"""	Mintopenergo Of Ukraine	51.3893	30.1066	NA	Kyiv Oblast	light water graphite reactor
Ukraine	South Ukraine nuclear power plant	1	1000	operating	VVER V-302	1983	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.81201	31.2201	NA	Mykolaiv Oblast	pressurized water reactor
Ukraine	South Ukraine nuclear power plant	2	1000	operating	VVER V-338	1985	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.81201	31.2201	NA	Mykolaiv Oblast	pressurized water reactor
Ukraine	South Ukraine nuclear power plant	3	1000	operating	VVER V-320	1989	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.81201	31.2201	NA	Mykolaiv Oblast	pressurized water reactor
Russia	Kola nuclear power plant	1-1	440	operating	VVER V-230	1973	NA	Rosatom	Rosenergoatom	67.4648	32.4821	NA	Murmansk Oblast	pressurized water reactor
Russia	Kola nuclear power plant	1-2	440	operating	VVER V-230	1975	NA	Rosatom	Rosenergoatom	67.4648	32.4821	NA	Murmansk Oblast	pressurized water reactor
Russia	Kola nuclear power plant	1-3	440	operating	VVER V-213	1982	NA	Rosatom	Rosenergoatom	67.4648	32.4821	NA	Murmansk Oblast	pressurized water reactor
Russia	Kola nuclear power plant	1-4	440	operating	VVER V-213	1984	NA	Rosatom	Rosenergoatom	67.4648	32.4821	NA	Murmansk Oblast	pressurized water reactor
Russia	Smolensk nuclear power plant	1-1	1000	operating	RBMK-1000	1983	2034	Rosatom	Rosenergoatom	54.1658	33.2358	NA	Smolensk Oblast	light water graphite reactor
Russia	Smolensk nuclear power plant	1-2	1000	operating	RBMK-1000	1985	2034	Rosatom	Rosenergoatom	54.1658	33.2358	NA	Smolensk Oblast	light water graphite reactor
Russia	Smolensk nuclear power plant	1-3	1000	operating	RBMK-1000	1990	2034	Rosatom	Rosenergoatom	54.1658	33.2358	NA	Smolensk Oblast	light water graphite reactor
Ukraine	Zaporizhzhia nuclear power plant	1	1000	operating	VVER V-320	1985	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.5067	34.5851	NA	Zaporizhia Oblast	pressurized water reactor
Ukraine	Zaporizhzhia nuclear power plant	2	1000	operating	VVER V-320	1986	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.5067	34.5851	NA	Zaporizhia Oblast	pressurized water reactor
Ukraine	Zaporizhzhia nuclear power plant	3	1000	operating	VVER V-320	1987	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.5067	34.5851	NA	Zaporizhia Oblast	pressurized water reactor
Ukraine	Zaporizhzhia nuclear power plant	4	1000	operating	VVER V-320	1988	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.5067	34.5851	NA	Zaporizhia Oblast	pressurized water reactor
Ukraine	Zaporizhzhia nuclear power plant	5	1000	operating	VVER V-320	1989	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.5067	34.5851	NA	Zaporizhia Oblast	pressurized water reactor
Ukraine	Zaporizhzhia nuclear power plant	6	1000	operating	VVER V-320	1996	NA	"SE NNEGC \Energoatom\"""	"SE NNEGC \Energoatom\"""	47.5067	34.5851	NA	Zaporizhia Oblast	pressurized water reactor
Russia	Kalinin nuclear power plant	1	1000	operating	VVER V-338	1985	NA	Rosatom	Rosenergoatom	57.905	35.0614	NA	Tver Oblast	pressurized water reactor
Russia	Kalinin nuclear power plant	2	1000	operating	VVER V-338	1987	NA	Rosatom	Rosenergoatom	57.905	35.0614	NA	Tver Oblast	pressurized water reactor
Russia	Kalinin nuclear power plant	3	1000	operating	VVER V-320	2005	NA	Rosatom	Rosenergoatom	57.905	35.0614	NA	Tver Oblast	pressurized water reactor
Russia	Kursk nuclear power plant	1-1	1000	retired	RBMK-1000	1977	2021	Rosatom	Rosenergoatom	51.6764	35.6064	NA	Kursk Oblast	light water graphite reactor
